Company,Valuation,Valuation In Billions,Date Joined,Industry,City,Country,Continent,Year Founded,Fund Raised,Funding in Millions,Funding in Billions,Major Investor 1,Major Investor 2,Major Investor 3,Major Investor 4
Coalition,$4B,4,17-03-2021,Cybersecurity,San Francisco,United States,North America,2017,$505M,505,0.505,Two Sigma Ventures, Flint Capital, Commerce Ventures,
Commure,$4B,4,16-09-2021,Internet software & services,San Francisco,United States,North America,2017,$542M,542,0.542,General Catalyst, HCA Healthcare,,
Flock Safety,$4B,4,13-07-2021,Hardware,Atlanta,United States,North America,2017,$381M,381,0.381,Matrix Partners, Initialized Capital, Tiger Global Management,
Handshake,$4B,4,12-05-2021,Internet software & services,San Francisco,United States,North America,2014,$434M,434,0.434,Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,
Highspot,$4B,4,22-02-2021,Internet software & services,Seattle,United States,North America,2013,$643M,643,0.643,Madrona Venture Group, Shasta Ventures, Salesforce Ventures,
Indigo Ag,$4B,4,26-09-2017,Artificial intelligence,Boston,United States,North America,2014,$1B,1000,1,Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.,
Mirakl,$4B,4,22-09-2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,948,0.948,Elaia Partners, 83North, Felix Capital,
Rec Room,$4B,4,23-03-2021,Internet software & services,Seattle,United States,North America,2016,$294M,294,0.294,First Round Capital, Sequoia Capital, Index Ventures,
Tekion,$4B,4,21-10-2020,Internet software & services,San Ramon,United States,North America,2016,$435M,435,0.435,Airbus Ventures, Index Ventures, Advent International,
Otto Bock HealthCare,$4B,4,24-06-2017,Health,Duderstadt,Germany,Europe,1919,$0M,0,0,EQT Partners,,,
Outreach,$4B,4,16-04-2019,Internet software & services,Seattle,United States,North America,2011,$489M,489,0.489,Mayfield Fund, M12, Trinity Ventures,
WeRide,$4B,4,23-12-2020,Auto & transportation,Guangzhou,China,Asia,2017,$1B,1000,1,Atop Capital, IDInvest Partners, Qiming Venture Partners,
Applied Intuition,$4B,4,22-10-2020,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,352,0.352,Andreessen Horowitz, Lux Capital, General Catalyst,
Course Hero,$4B,4,12-02-2020,Edtech,Redwood City,United States,North America,2006,$477M,477,0.477,NewView Capital, Maveron, Ridge Ventures,
Relativity,$4B,4,18-03-2021,Internet software & services,Chicago,United States,North America,2001,$125M,125,0.125,Silver Lake, ICONIQ Capital,,
Whoop,$4B,4,28-10-2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,404,0.404,NextView Ventures, Promus Ventures, Two Sigma Ventures,
Arctic Wolf Networks,$4B,4,22-10-2020,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,498,0.498,Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors,
GOAT,$4B,4,23-09-2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,493,0.493,Upfront Ventures, Webb Investment Network, D1 Capital Partners,
Noom,$4B,4,24-05-2021,Health,New York,United States,North America,2006,$657M,657,0.657,Qualcomm Ventures, Samsung Ventures, Silver Lake,
Papaya Global,$4B,4,04-03-2021,Internet software & services,New York,United States,North America,2016,$440M,440,0.44,Bessemer Venture Partners, Insight Partners, New Era Ventures,
Redwood Materials,$4B,4,28-07-2021,Other,Carson City,United States,North America,2017,$792M,792,0.792,Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners,
ShareChat,$4B,4,08-04-2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,1000,1,India Quotient, Elevation Capital, Lightspeed Venture Partners,
Sorare,$4B,4,21-09-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$739M,739,0.739,Benchmark, Accel, SoftBank Group,
VAST Data,$4B,4,16-04-2020,Data management & analytics,New York,United States,North America,2016,$263M,263,0.263,Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital,
Articulate,$4B,4,01-07-2021,Edtech,New York,United States,North America,2015,$2B,2000,2,Blackstone, ICONIQ Growth, General Atlantic,
Dutchie,$4B,4,16-03-2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,$603M,603,0.603,Casa Verde Capital, Gron Ventures, Thrity Five Ventures,
FalconX,$4B,4,10-08-2021,Fintech,San Mateo,United States,North America,2018,$324M,324,0.324,Tiger Global Management, American Express Ventures, B Capital Group,
Guild Education,$4B,4,13-11-2019,Internet software & services,Denver,United States,North America,2015,$379M,379,0.379,General Atlantic, Blackstone, ICONIQ Growth,
Chainalysis,$4B,4,23-11-2020,Fintech,New York,United States,North America,2014,$367M,367,0.367,Addition, Benhcmark, Accel,
dbt Labs,$4B,4,30-06-2021,Data management & analytics,Philadelphia,United States,North America,2016,$414M,414,0.414,Andreessen Horowitz, Amplify Partners, Sequoia Capital,
Globalization Partners,$4B,4,24-01-2022,Internet software & services,Boston,United States,North America,2012,$350M,350,0.35,Vista Equity Partners, Wincove, TDR Capital,
Intarcia Therapeutics,$4B,4,01-04-2014,Health,Boston,United States,North America,1995,$1B,1000,1,New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital,
Relativity Space,$4B,4,23-11-2020,Other,Inglewood,United States,North America,2016,$1B,1000,1,Playground Global, Bond, Tribe Capital,
StockX,$4B,4,26-06-2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,$495M,495,0.495,Google Ventures, Battery Ventures, DST Global,
ThoughtSpot,$4B,4,08-05-2018,Internet software & services,Sunnyvale,United States,North America,2012,$664M,664,0.664,Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,
SSENSE,$4B,4,08-06-2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,Unknown,Unknown,#VALUE!,Sequoia Capital,,,
BitPanda,$4B,4,16-03-2021,Fintech,Vienna,Austria,Europe,2014,$546M,546,0.546,Speedinvest, Valar Ventures, Uniqa Ventures,
Dataminr,$4B,4,04-06-2018,Artificial intelligence,New York,United States,North America,2009,$1B,1000,1,Venrock, Institutional Venture Partners, Goldman Sachs,
Weee!,$4B,4,16-03-2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,$864M,864,0.864,Goodwater Capital, iFly, XVC Venture Capital,
Medlinker,$4B,4,31-07-2018,Health,Chengdu,China,Asia,2014,$761M,761,0.761,China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China,
Hozon Auto,$4B,4,22-02-2022,Auto & transportation,Shanghai,China,Asia,2014,$2B,2000,2,HD Capital, Qihoo 360 Technology, China Fortune Land Development,
Aurora Solar,$4B,4,24-05-2021,Internet software & services,San Francisco,United States,North America,2013,$523M,523,0.523,Fifth Wall Ventures, Energize Ventures, ICONIQ Capital,
Branch,$4B,4,10-09-2018,Mobile & telecommunications,Redwood City,United States,North America,2014,$667M,667,0.667,New Enterprise Associates, Pear, Cowboy Ventures,
BrowserStack,$4B,4,16-06-2021,Internet software & services,Dublin,Ireland,Europe,2011,$250M,250,0.25,Accel, Insight Partners, Bond Capital,
Cerebras Systems,$4B,4,14-11-2018,Hardware,Los Altos,United States,North America,2016,$720M,720,0.72,Benchmark, Foundation Capital, Sequoia Capital,
ClickUp,$4B,4,15-12-2020,Internet software & services,San Diego,United States,North America,2017,$535M,535,0.535,Georgian Partners, Craft Ventures,,
Clubhouse,$4B,4,24-01-2021,Mobile & telecommunications,San Francisco,United States,North America,2020,$110M,110,0.11,Andreessen Horowitz, TQ Ventures,,
Farmers Business Network,$4B,4,03-08-2020,Other,San Carlos,United States,North America,2014,$870M,870,0.87,Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,
Houzz,$4B,4,30-09-2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,$614M,614,0.614,New Enterprise Associates, Sequoia Capital, Comcast Ventures,
MEGVII,$4B,4,31-10-2017,Artificial intelligence,Beijing,China,Asia,2011,$1B,1000,1,Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company,
Melio,$4B,4,25-01-2021,Fintech,New York,United States,North America,2018,$504M,504,0.504,Accel, Aleph, American Express Ventures,
Next Insurance,$4B,4,07-10-2019,Fintech,Palo Alto,United States,North America,2016,$881M,881,0.881,Zeev Ventures, Ribbit Capital, TLV Partners,
Olive,$4B,4,01-12-2020,Internet software & services,Columbus,United States,North America,2012,$856M,856,0.856,Drive Capital, General Catalyst, Ascension Ventures,
Patreon,$4B,4,02-09-2020,Internet software & services,San Francisco,United States,North America,2013,$413M,413,0.413,Index Ventures, Thrive Capital, CRV,
PointClickCare,$4B,4,07-01-2021,Internet software & services,Mississauga,Canada,North America,2000,$230M,230,0.23,Dragoneer Investment Group, Hellman & Friedman, JMI Equity,
Rubrik,$4B,4,28-04-2017,Data management & analytics,Palo Alto,United States,North America,2014,$553M,553,0.553,Greylock Partners, Lightspeed Venture Partners, Khosla Ventures,
Vuori,$4B,4,13-10-2021,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,$445M,445,0.445,SoftBank Group, Norwest Venture Partners,,
Webflow,$4B,4,13-01-2021,Internet software & services,San Francisco,United States,North America,2012,$335M,335,0.335,Accel, Silversmith Capital Partners, capitalG,
Yuga Labs,$4B,4,22-03-2022,Fintech,Miami,United States,North America,2021,$450M,450,0.45,Andreessen Horowitz, Thrive Capital, Sound Ventures,
Zapier,$4B,4,14-01-2021,Internet software & services,Sunnyvale,United States,North America,2011,$1M,1,0.001,Sequoia Capital, Bessemer Venture Partners, Threshold Ventures,
Dadi Cinema,$3B,3,11-05-2016,Other,Shenzhen,China,Asia,2006,$154M,154,0.154,Alibaba Pictures Group,,,
Kurly,$3B,3,09-07-2021,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,$770M,770,0.77,Sequoia Capital China, DST Global, DST Global,
Moglix,$3B,3,17-05-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$471M,471,0.471,Jungle Ventures, Accel, Venture Highway,
OpenAI,$3B,3,22-07-2019,Artificial intelligence,San Francisco,United States,North America,2015,$1B,1000,1,Khosla Ventures,,,
Upstox,$3B,3,29-11-2021,Fintech,Mumbai,India,Asia,2010,$54M,54,0.054,Tiger Global Management, Kalaari Capital,,
Vista Global,$3B,3,23-08-2017,Other,Dubai,United Arab Emirates,Asia,2004,$418M,418,0.418,Rhone Capital,,,
Yixia,$3B,3,24-11-2015,Mobile & telecommunications,Beijing,China,Asia,2011,$775M,775,0.775,Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
Automattic,$3B,3,27-05-2013,Internet software & services,San Francisco,United States,North America,2005,$859M,859,0.859,Insight Venture Partners, Lowercase Capital, Polaris Partners,
OakNorth Bank,$3B,3,12-10-2017,Fintech,London,United Kingdom,Europe,2015,$1B,1000,1,Clermont Group, Coltrane Asset Management, Toscafund Asset Management,
Worldcoin,$3B,3,29-06-2021,Fintech,San Francisco,United States,North America,2019,$125M,125,0.125,Day One Ventures, Coinbase Ventures, Andreessen Horowitz,
Hive Box,$3B,3,23-01-2018,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,$1B,1000,1,Eastern Bell Capital, SF Holding Co, STO Express,
Trax,$3B,3,22-07-2019,Artificial intelligence,,Singapore,Asia,2010,$1B,1000,1,Hopu Investment Management, Boyu Capital, DC Thomson Ventures,
MessageBird,$3B,3,08-10-2020,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,$1B,1000,1,Y Combinator, Atomico, Accel,
Cohesity,$3B,3,11-06-2018,Data management & analytics,San Jose,United States,North America,2013,$660M,660,0.66,SoftBank Group, Sequoia Capital, Wing Venture Capital,
Cybereason,$3B,3,06-08-2019,Cybersecurity,Boston,United States,North America,2012,$714M,714,0.714,SoftBank Group, CRV, Spark Capital,
A24 Films,$3B,3,09-03-2022,Other,New York,United States,North America,2012,$225M,225,0.225,Stripes Group, Neuberger Berman,,
Acronis,$3B,3,18-09-2019,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,$408M,408,0.408,Goldman Sachs, VebVentures, Insight Partners,
Aura,$3B,3,09-06-2021,Cybersecurity,Burlington,United States,North America,2019,$500M,500,0.5,Warburg Pincus, General Catalyst,,
BYTON,$3B,3,20-04-2018,Auto & transportation,Nanjing,China,Asia,2016,$1B,1000,1,FAW Group, Tencent Holdings, Tus Holdings,
Cato Networks,$3B,3,17-11-2020,Cybersecurity,Tel Aviv,Israel,Asia,2015,$532M,532,0.532,Aspect Ventures, SingTel Innov8, Greylock Partners,
Digit Insurance,$3B,3,15-01-2021,Fintech,Bengaluru,India,Asia,2016,$531M,531,0.531,Fairfax Financial Holdings, A91 Partners, TVS Capital,
Fetch Rewards,$3B,3,31-03-2021,E-commerce & direct-to-consumer,Madison,United States,North America,2014,$582M,582,0.582,Greycroft, Loeb.NYC, DST Global,
Games24x7,$3B,3,30-03-2022,Internet software & services,Mumbai,India,Asia,2006,$75M,75,0.075,Tiger Global Management, The Raine Group, Malabar Investments,
GoStudent,$3B,3,22-06-2021,Edtech,Vienna,Austria,Europe,2017,$685M,685,0.685,DN Capital, Left Lane Capital, Coatue Management,
Immutable,$3B,3,07-03-2022,Fintech,Sydney,Australia,Oceania,2018,$280M,280,0.28,Fabric Ventures, AirTree Ventures, Temasek,
Infra.Market,$3B,3,25-02-2021,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,274,0.274,Accel, Tiger Global Management, Nexus Venture Partners,
Side,$3B,3,22-03-2021,Internet software & services,San Francisco,United States,North America,2017,$314M,314,0.314,Coatue Managemeny, Trinity Ventures, Matrix Partners,
SiFive,$3B,3,16-03-2022,Hardware,San Mateo,United States,North America,2015,$366M,366,0.366,Sutter Hill Ventures, Osage University Partners, Spark Capital,
Somatus,$3B,3,23-02-2022,Health,McLean,United States,North America,2016,$465M,465,0.465,The Blue Venture Fund, Flare Capital Partners, Longitude Capital,
Sysdig,$3B,3,28-04-2021,Cybersecurity,San Francisco,United States,North America,2013,$730M,730,0.73,Accel, Bain Capital Ventures, Insight Partners,
Uniphore,$3B,3,16-02-2022,Artificial intelligence,Palo Alto,United States,North America,2008,$607M,607,0.607,Chiratae Ventures, March Capital Partners, National Grid Partners,
Varo Bank,$3B,3,09-09-2021,Fintech,San Francisco,United States,North America,2015,$987M,987,0.987,Warburg Pincus, The Rise Fund, HarbourVest Partners,
Vercel,$3B,3,23-06-2021,Internet software & services,San Francisco,United States,North America,2015,$313M,313,0.313,CRV, Accel, Google Ventures,
Oura,$3B,3,05-04-2022,Health,Oulu,Finland,Europe,2013,$148M,148,0.148,Forerunner Ventures, Lifeline Ventures, MSD Capital,
Unacademy,$3B,3,02-09-2020,Edtech,Bengaluru,India,Asia,2015,$789M,789,0.789,Blume Ventures, Nexus Venture Partners, Sequoia Capital India,
Axonius,$3B,3,01-03-2021,Cybersecurity,New York,United States,North America,2017,$395M,395,0.395,Vertex Ventures Israel, Bessemer Venture Partners, Emerge,
Clari,$3B,3,03-03-2021,Internet software & services,Sunnyvale,United States,North America,2012,$496M,496,0.496,Sequoia Capital, Bain Capital Ventures, enaya Capital,
ManoMano,$3B,3,05-07-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,706,0.706,General Atlantic, Piton Capital, Partech Partners,
Pendo,$3B,3,17-10-2019,Internet software & services,Raleigh,United States,North America,2013,$357M,357,0.357,Contour Venture Partners, Battery Ventures, Core Capital Partners,
Plume,$3B,3,23-02-2021,Internet software & services,Palo Alto,United States,North America,2015,$722M,722,0.722,Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures,
JumpCloud,$3B,3,13-09-2021,Data management & analytics,Louisville,United States,North America,2012,$407M,407,0.407,Foundry Group, General Atlantic, BlackRock,
Project44,$3B,3,01-06-2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,818,0.818,Emergence Capital Partners, 8VC, Chicago Ventures,
Sourcegraph,$3B,3,13-07-2021,Internet software & services,San Francisco,United States,North America,2013,$248M,248,0.248,Redpoint Ventures, Goldcrest Capital, Insight Partners,
OwnBackup,$3B,3,28-01-2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,507,0.507,Insight Partners, Salesforce Ventures, Vertex Ventures,
Starburst,$3B,3,06-01-2021,Data management & analytics,Boston,United States,North America,1999,$414M,414,0.414,Index Ventures, Coatue Management, Andreessen Horowitz,
Youxia Motors,$3B,3,02-04-2018,Auto & transportation,Shanghai,China,Asia,2014,$1B,1000,1,China Environmental Protection Industry, China Fortune Ocean,,
Zetwerk,$3B,3,20-08-2021,Internet software & services,Bengaluru,India,Asia,2018,$543M,543,0.543,Sequoia Capital India, Kae Capital, Accel,
Cars24,$3B,3,24-11-2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,1000,1,Moore Strategic Ventures, DST Global, Sequoia Capital India,
Ethos,$3B,3,11-05-2021,Fintech,San Francisco,United States,North America,2016,$407M,407,0.407,Sequoia Capital, Google Ventures, Accel,
Komodo Health,$3B,3,22-05-2020,Health,San Francisco,United States,North America,2014,$314M,314,0.314,Andreessen Horowitz, IA Ventures, Felicis Ventures,
Nextiva,$3B,3,14-09-2021,Internet software & services,Scottsdale,United States,North America,2008,$200M,200,0.2,Goldman Sachs Asset Management,,,
o9 Solutions,$3B,3,28-04-2020,Artificial intelligence,Dallas,United States,North America,2009,$417M,417,0.417,KKR,,,
Scopely,$3B,3,29-10-2019,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,999,0.999,Greycroft, Sands Capital, Revolution Growth,
Sila Nanotechnologies,$3B,3,16-04-2019,Other,Alameda,United States,North America,2011,$880M,880,0.88,Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,
Via,$3B,3,30-03-2020,Auto & transportation,New York,United States,North America,2012,$777M,777,0.777,83North, RiverPark Ventures, Pitango Venture Capital,
Transmit Security,$3B,3,22-06-2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,583,0.583,General Atlantic, Insight Partners, Vintage Investment Partners,
BlockDaemon,$3B,3,21-09-2021,Fintech,Los Angeles,United States,North America,2016,$398M,398,0.398,BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,
Convoy,$3B,3,21-09-2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,666,0.666,Greylock Partners, capitalG, Y Combinator,
Dream Games,$3B,3,30-06-2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,468,0.468,Makers Fund, Index Ventures, Inova Ventures Participacees,
Illumio,$3B,3,14-04-2015,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,558,0.558,Data Collective, Formation 8, General Catalyst Partners,
MasterClass,$3B,3,13-05-2021,Edtech,San Francisco,United States,North America,2015,$461M,461,0.461,Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,
Graphcore,$3B,3,18-12-2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,$682M,682,0.682,Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners,
ApplyBoard,$3B,3,05-05-2020,Edtech,Kitchener,Canada,North America,2015,$483M,483,0.483,Artiman Ventures, Plug and Play Ventures, Anthos Capital,
Blockstream,$3B,3,24-08-2021,Fintech,Vancouver,Canada,North America,2014,$299M,299,0.299,AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,
Cedar,$3B,3,09-03-2021,Fintech,New York,United States,North America,2016,$326M,326,0.326,Thrive Capital, Founders Fund, Cocnord Health Partners,
ContentSquare,$3B,3,25-05-2021,Internet software & services,Paris,France,Europe,2012,$812M,812,0.812,Highland Europe, Eurazeo, Canaan Partners,
Eruditus Executive Education,$3B,3,12-08-2021,Edtech,Mumbai,India,Asia,2010,$591M,591,0.591,Sequoia Capital India, Softbank, Bertelsmann India Investments,
Innovaccer,$3B,3,19-02-2021,Health,San Francisco,United States,North America,2014,$379M,379,0.379,M12, WestBridge Capital, Lightspeed Venture Partners,
Ironclad,$3B,3,18-01-2022,Internet software & services,Sacramento,United States,North America,2014,$334M,334,0.334,Accel, Sequoia Capital, Y Combinator,
Skims,$3B,3,09-04-2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,399,0.399,Thrive Capital, Alliance Consumer Growth, Imaginary Ventures,
Thumbtack,$3B,3,29-09-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,698,0.698,Tiger Global, Sequoia Capital, Google Capital,
Zipline,$3B,3,20-05-2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,483,0.483,Sequoia Capital, Baillie Gifford & Co., Google Ventures,
BharatPe,$3B,3,30-07-2021,Fintech,New Delhi,India,Asia,2018,$600M,600,0.6,Insight Partners, Sequoia Capital India, BEENEXT,
DriveWealth,$3B,3,20-08-2021,Fintech,Chatham,United States,North America,2012,$551M,551,0.551,Point72 Ventures, Route 66 Ventures, Accel,
Flink Food,$3B,3,01-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,1000,1,Mubadala Capital, Bond, Prosus Ventures,
PsiQuantum,$3B,3,27-07-2021,Hardware,Palo Alto,United States,North America,2016,$665M,665,0.665,Playground Global, M12, BlackRock,
SpotOn,$3B,3,26-05-2021,Fintech,San Francisco,United States,North America,2017,$628M,628,0.628,Dragoneer Investment Group, DST Global, Franklin Templeton,
Gorillas,$3B,3,25-03-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,1000,1,Coatue Management, Atlantic Food Labs, DST Global,
HighRadius,$3B,3,07-01-2020,Fintech,Houston,United States,North America,2006,$475M,475,0.475,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,
Loft,$3B,3,03-01-2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,788,0.788,Monashees+, Andreessen Horowitz, QED Investors,
Nuvemshop,$3B,3,17-08-2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,628,0.628,Kaszek Ventures, Qualcomm Ventures, Accel,
Udaan,$3B,3,04-09-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,1000,1,DST Global, Lightspeed Venture Partners, Microsoft ScaleUp,
Workrise,$3B,3,30-09-2019,Internet software & services,Austin,United States,North America,2014,$722M,722,0.722,Founders Fund, Quantum Energy Partners, Bedrock Capital,
ActiveCampaign,$3B,3,21-04-2021,Internet software & services,Chicago,United States,North America,2003,$360M,360,0.36,Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,
Age of Learning,$3B,3,03-05-2016,Edtech,Glendale,United States,North America,2007,$500M,500,0.5,Iconiq Capital,,,
Amber Group,$3B,3,21-06-2021,Fintech,,Hong Kong,Asia,2015,$328M,328,0.328,Tiger Global Management, Tiger Brokers, DCM Ventures,
Anchorage Digital,$3B,3,15-12-2021,Fintech,San Francisco,United States,North America,2017,$487M,487,0.487,Andreessen Horowitz, Blockchain Capital, Lux Capital,
BlockFi,$3B,3,11-03-2021,Fintech,Jersey City,United States,North America,2017,$1B,1000,1,ConsenSys Ventures, Valar Ventures, PUC,
Calendly,$3B,3,26-01-2021,Internet software & services,Atlanta,United States,North America,2013,$351M,351,0.351,ICONIQ Capital, OpenView Venture Partners,,
Carbon Health,$3B,3,21-07-2021,Health,San Francisco,United States,North America,2015,$523M,523,0.523,Brookfield Asset Management, Blackstone, Data Collective,
Circle,$3B,3,15-05-2018,Fintech,Boston,United States,North America,2013,$711M,711,0.711,General Catalyst, Digital Currency Group, Accel,
CMR Surgical,$3B,3,17-09-2019,Health,Cambridge,United Kingdom,Europe,2014,$975M,975,0.975,Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,
Contentful,$3B,3,28-07-2021,Internet software & services,Berlin,Germany,Europe,2013,$333M,333,0.333,Balderton Capital, General Catalyst, Tiger Global Management,
Cross River Bank,$3B,3,11-02-2022,Fintech,Fort Lee,United States,North America,2008,$775M,775,0.775,Battery Ventures, Andreessen Horowitz, Ribbit Capital,
Delhivery,$3B,3,27-02-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,1000,1,Times Internet, Nexus Venture Partners, SoftBank Group,
FlixBus,$3B,3,18-07-2019,Auto & transportation,Munich,Germany,Europe,2013,$1B,1000,1,Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,
Flutterwave,$3B,3,09-03-2021,Fintech,San Francisco,United States,North America,2016,$474M,474,0.474,Green Visor Capital, CRE Venture Capital, Greycroft,
Forter,$3B,3,19-11-2020,Cybersecurity,New York,United States,North America,2013,$525M,525,0.525,Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,
Grafana Labs,$3B,3,25-03-2021,Internet software & services,New York,United States,North America,2014,$535M,535,0.535,Lightspeed Venture Partners, Lead Edge Capital, Coatue Management,
Groww,$3B,3,07-04-2021,Fintech,Bengaluru,India,Asia,2017,$393M,393,0.393,Tiger Global Management, Sequoia Capital India, Ribbit Capital,
Inxeption,$3B,3,13-01-2022,Fintech,San Francisco,United States,North America,2017,$187M,187,0.187,Coatue Management, BMO Capital, Schonfeld Strategic Advisors,
KK Group,$3B,3,23-10-2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,612,0.612,Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group,
Lattice,$3B,3,23-03-2021,Internet software & services,San Francisco,United States,North America,2015,$329M,329,0.329,Khosla Ventures, Thrive Capital, Y Combinator,
LaunchDarkly,$3B,3,10-08-2021,Internet software & services,Oakland,United States,North America,2014,$330M,330,0.33,Uncork Capital, Threshold Ventures, Bloomberg Beta,
Lucid,$3B,3,29-06-2021,Internet software & services,South Jordan,United States,North America,2010,$170M,170,0.17,Spectrum Equity, ICONIQ Capital, Grayhawk Capital,
Outschool,$3B,3,14-04-2021,Edtech,San Francisco,United States,North America,2015,$240M,240,0.24,Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,
Podium,$3B,3,07-04-2020,Internet software & services,Lehi,United States,North America,2014,$419M,419,0.419,Accel, Summit Partners, Google Ventures,
Remote,$3B,3,13-07-2021,Fintech,San Francisco,United States,North America,2016,$496M,496,0.496,Index Ventures, Sequoia Capital, General Catalyst,
Seismic,$3B,3,18-12-2018,Internet software & services,San Diego,United States,North America,2010,$427M,427,0.427,Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,
Sky Mavis,$3B,3,04-10-2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,311,0.311,Fabric Ventures, 500 Global, Standard Crypto,
SouChe Holdings,$3B,3,01-11-2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,1000,1,Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,
TradingView,$3B,3,14-10-2021,Fintech,Westerville,United States,North America,2011,$339M,339,0.339,Tiger Global Management, Insight Partners, Jump Capital,
Traveloka,$3B,3,01-01-2017,Travel,Jakarta,Indonesia,Asia,2012,$1B,1000,1,Global Founders Capital, East Ventures, Expedia Inc.,
wefox,$3B,3,05-03-2019,Fintech,Berlin,Germany,Europe,2014,$919M,919,0.919,Salesforce Ventures, Seedcamp, OMERS Ventures,
Wildlife Studios,$3B,3,05-12-2019,Other,Sao Paulo,Brazil,South America,2011,$180M,180,0.18,Benchmark, Bessemer Venture Partners,,
1047 Games,$2B,2,14-09-2021,Internet software & services,Zephyr Cove,United States,North America,2017,$127M,127,0.127,VGames, Lakestar, Galaxy Interactive,
Baiwang,$2B,2,25-03-2019,Fintech,Beijing,China,Asia,2015,$224M,224,0.224,Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital,
Boba,$2B,2,05-04-2022,Fintech,San Francisco,United States,North America,2018,$45M,45,0.045,DeFi Technologies, Hypersphere Ventures, M13,
